,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
1151,Person search,2020-04-22T07:01:05+00:00,51.513454,-0.09172,Article for use in theft,1
1164,Person and Vehicle search,2020-04-24T07:22:58+00:00,51.516814,-0.08162,Controlled drugs,1
1167,Person search,2020-04-24T10:35:11+00:00,51.51768,-0.078484,Controlled drugs,1
1174,Person and Vehicle search,2020-04-26T02:01:02+00:00,51.51265,-0.076044,Controlled drugs,1
1178,Person and Vehicle search,2020-04-27T00:41:56+00:00,51.516814,-0.08162,Stolen goods,1
1183,Person search,2020-04-28T11:33:26+00:00,51.514109,-0.10328,Articles for use in criminal damage,1
1184,Person search,2020-04-28T11:53:27+00:00,51.514151,-0.074958,Article for use in theft,1
1187,Person and Vehicle search,2020-04-29T01:11:49+00:00,51.516966,-0.1059,Controlled drugs,1
1188,Person search,2020-04-29T01:19:08+00:00,51.516966,-0.1059,Controlled drugs,1
1204,Person and Vehicle search,2020-05-02T00:41:25+00:00,51.512147,-0.092077,Controlled drugs,1
1209,Person search,2020-05-03T06:20:32+00:00,51.516767,-0.098572,Stolen goods,1
1223,Person and Vehicle search,2020-05-06T01:43:07+00:00,51.51265,-0.101452,Controlled drugs,1
1229,Person search,2020-05-06T11:57:36+00:00,51.51265,-0.101452,Controlled drugs,1
1232,Person and Vehicle search,2020-05-07T03:02:19+00:00,51.508181,-0.019397,Controlled drugs,1
1238,Person search,2020-05-08T02:06:54+00:00,51.550005,-0.065684,Article for use in theft,1
1239,Person search,2020-05-08T02:15:35+00:00,51.509547,-0.076031,Articles for use in criminal damage,1
